Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Galgorm Manor Hotel Limited,2013-14,"650,000","7,500,000",Creating Jobs / Capital Investment / Business Development,49,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,55100,Accommodation And Food Service Activities,136 Fenaghy Road, , ,Ballymena,County Antrim,BT42 1EA
Creagh Concrete,2013-14,"191,418","638,059",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,23610,Manufacturing,Blackpark Road,Creagh Industrial Estate, ,Toomebridge,County Londonderry,BT41 3SE
Dunbia (Northern Ireland),2013-14,"714,413","2,381,378",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10110,Manufacturing,Granville Industrial Estate, , ,Dungannon,County Tyrone,BT70 1NJ
Bombardier Aerostructures and Engineering Services (Belfast),2013-14,"10,950,000","109,118,184",Investing in R&D                    ,0,Canada,External,Existing,BELFAST EAST,Belfast,30300,Manufacturing,Box 241 Airport Road, , ,Belfast,County Down,BT3 9DY
RLC (UK) Limited,2014-15,"3,150,000","29,900,000",Creating Jobs / Capital Investment / Business Development,96,Great Britain,External,Existing,EAST ANTRIM,Antrim and Newtownabbey,30300,Manufacturing,Global Point Business Park,Corrs Corner,Larne Road,Newtownabbey,County Antrim,BT37 0XX
Citibank International PLC,2014-15,"208,267","520,668",Developing Skills,0,United States of America,External,Existing,BELFAST EAST,Belfast,64191,Financial And Insurance Activities,Gateway Building,Titanic Quarter,60 Sydenham Road,Belfast,County Down,BT3 9DP
Schrader Electronics Limited,2013-14,"905,281","3,936,006",Developing Skills,0,United States of America,External,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,26511,Manufacturing,11 Technology Park,Belfast Road, ,Antrim,County Antrim,BT41 1QS
Citibank International PLC,2013-14,"496,209","1,240,522",Developing Skills,0,United States of America,External,Existing,BELFAST EAST,Belfast,64191,Financial And Insurance Activities,Gateway Building,Titanic Quarter,60 Sydenham Road,Belfast,County Down,BT3 9DP
Montupet (U.K.) Limited,2013-14,"240,230","774,937",Developing Skills,0,France,External,Existing,LAGAN VALLEY,Lisburn and Castlereagh,29320,Manufacturing,The Cutts,Dunmurry Industrial Estate,Derriaghy,Belfast,County Antrim,BT17 9HN
A. J. Power Limited,2013-14,"200,000","2,998,820",Creating Jobs / Capital Investment / Business Development,24,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",27110,Manufacturing,1 Charlestown Drive,Carn Industrial Area, ,Craigavon,County Armagh,BT63 5GA
