Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Mid and East Antrim,"650,000","7,500,000",49,55100,Accommodation And Food Service Activities,BT42 1EA
Northern Ireland,Mid Ulster,"191,418","638,059",0,23610,Manufacturing,BT41 3SE
Northern Ireland,Mid Ulster,"714,413","2,381,378",0,10110,Manufacturing,BT70 1NJ
Canada,Belfast,"10,950,000","109,118,184",0,30300,Manufacturing,BT3 9DY
United States,Antrim and Newtownabbey,"905,281","3,936,006",0,26511,Manufacturing,BT41 1QS
United States,Belfast,"496,209","1,240,522",0,64191,Financial And Insurance Activities,BT3 9DP
France,Lisburn and Castlereagh,"240,230","774,937",0,29320,Manufacturing,BT17 9HN
Northern Ireland,"Armagh City, Banbridge and Craigavon","200,000","2,998,820",24,27110,Manufacturing,BT63 5GA
Northern Ireland,Mid Ulster,"70,824","217,033",0,28302,Manufacturing,BT70 2PN
Northern Ireland,Belfast,"4,030,054","38,000,203",100,17219,Manufacturing,BT11 9DT
Northern Ireland,Antrim and Newtownabbey,"69,160","373,472",0,23510,Manufacturing,BT51 4PP
Northern Ireland,"Armagh City, Banbridge and Craigavon","99,864","265,816",0,28302,Manufacturing,BT60 2BH
United States,Lisburn and Castlereagh,"49,130","213,608",0,22190,Manufacturing,BT28 2SA
Northern Ireland,Mid Ulster,"89,488","274,720",2,10710,Manufacturing,BT67 0LT
Northern Ireland,Mid and East Antrim,"96,541","244,241",0,26511,Manufacturing,BT38 8YF
Germany,Derry City and Strabane,"31,499","93,479",0,62012,Information And Communication,BT48 7TG
United States,Belfast,"147,264","368,161",0,64304,Financial And Insurance Activities,BT2 8HS
Northern Ireland,Mid Ulster,"12,650","23,000",0,28250,Manufacturing,BT80 0AY
Northern Ireland,Mid Ulster,"314,241","1,047,470",0,10110,Manufacturing,BT70 1NJ
Northern Ireland,Lisburn and Castlereagh,"34,528","114,320",2,43290,Construction,BT29 4SW
Northern Ireland,Belfast,"15,779","52,598",0,72100,"Professional, Scientific And Technical Activities",
Northern Ireland,Lisburn and Castlereagh,"76,051","253,504",0,42990,Construction,BT26 6HX
Northern Ireland,Belfast,"49,815","128,700",0,27520,Manufacturing,BT28 2TH
Northern Ireland,Mid and East Antrim,"12,525","31,312",0,70229,"Professional, Scientific And Technical Activities",BT38 7DP
Northern Ireland,Fermanagh and Omagh,"49,637","248,187",0,26120,Manufacturing,BT74 4RL
Northern Ireland,Belfast,"495,069","1,156,987",0,62010,Information And Communication,BT3 9DT
United States,Belfast,"725,000","7,460,000",100,62020,Information And Communication,
Northern Ireland,Belfast,"369,946","2,435,000",0,17219,Manufacturing,BT11 9DT
Northern Ireland,"Armagh City, Banbridge and Craigavon","99,000","709,985",10,10390,Manufacturing,BT63 5WJ
Japan,Mid and East Antrim,"2,100,000","32,500,000",100,24540,Manufacturing,BT38 8YF
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,700,000","10,256,000",85,30990,Manufacturing,BT63 5QE
Northern Ireland,Mid and East Antrim,"190,000","955,000",12,11070,Manufacturing,BT42 2AF
Northern Ireland,Belfast,"43,818","175,274",0,10910,Manufacturing,BT15 3GW
Northern Ireland,Causeway Coast and Glens,"8,723","21,808",0,10120,Manufacturing,BT44 8RW
Northern Ireland,Belfast,"38,912","104,921",0,62020,Information And Communication,BT1 2NB
Northern Ireland,Belfast,"52,263","124,435",0,63990,Information And Communication,BT2 7GA
Northern Ireland,Derry City and Strabane,"99,542","817,710",9,10130,Manufacturing,BT82 9EA
Northern Ireland,Derry City and Strabane,"306,603","1,022,010",0,10110,Manufacturing,BT47 6TJ
Japan,Mid and East Antrim,"245,839","877,998",0,24540,Manufacturing,BT38 8YF
Northern Ireland,Mid Ulster,"81,804","216,592",0,28920,Manufacturing,BT71 4DT
Northern Ireland,Antrim and Newtownabbey,"38,400","192,000",4,82990,Administrative And Support Service Activities,BT36 7AP
Northern Ireland,Derry City and Strabane,"4,410","9,000",0,10710,Manufacturing,BT48 8SE
Northern Ireland,Belfast,"87,720","250,629",0,46520,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT15 3PX
United States,Derry City and Strabane,"163,237","494,659",0,22220,Manufacturing,BT47 3GQ
Northern Ireland,Belfast,"33,830","96,656",0,55100,Accommodation And Food Service Activities,BT9 6DY
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,695","4,900",0,10130,Manufacturing,BT61 9JT
Northern Ireland,Ards and North Down,"28,309","92,969",0,22290,Manufacturing,BT19 7QY
Northern Ireland,Belfast,"272,000","2,240,000",34,63990,Information And Communication,BT2 7GA
Northern Ireland,Mid Ulster,"32,120","64,239",0,10710,Manufacturing,BT45 6BB
Northern Ireland,Belfast,"41,676","104,192",0,20590,Manufacturing,BT3 9JL
Northern Ireland,Belfast,"97,913","244,783",0,59110,Information And Communication,BT2 8HD
Northern Ireland,Mid Ulster,"48,446","173,023",0,71129,"Professional, Scientific And Technical Activities",BT80 9LU
Northern Ireland,Lisburn and Castlereagh,"40,000","248,000",8,10130,Manufacturing,BT67 0LZ
Northern Ireland,Belfast,"35,478","99,780",0,82990,Administrative And Support Service Activities,BT14 7BT
United States,"Armagh City, Banbridge and Craigavon","28,400","71,000",0,32990,Manufacturing,BT66 6LN
Northern Ireland,Belfast,"38,154","99,160",0,20590,Manufacturing,BT3 9JL
Great Britain,Antrim and Newtownabbey,"19,338","64,460",0,61200,Information And Communication,BT3 9LE
Northern Ireland,Fermanagh and Omagh,"40,400","101,000",2,10710,Manufacturing,BT92 9JZ
Northern Ireland,Causeway Coast and Glens,"46,556","103,457",0,16230,Manufacturing,BT56 8NE
Northern Ireland,"Armagh City, Banbridge and Craigavon","75,000","466,000",3,10612,Manufacturing,BT71 7HZ
Northern Ireland,Mid Ulster,"46,176","115,441",0,16220,Manufacturing,BT46 5BP
Northern Ireland,"Armagh City, Banbridge and Craigavon","26,633","66,582",0,10710,Manufacturing,BT25 1NT
Northern Ireland,"Armagh City, Banbridge and Craigavon","14,700","30,000",0,10710,Manufacturing,BT63 5WE
Northern Ireland,"Armagh City, Banbridge and Craigavon","33,344","110,360",1,58190,Information And Communication,BT63 5RH
