ID,Node,Source,Target,Weight,Relationship,Assistance,Total,SIC,jobs,Sector,address,X,Y,CycleY
1,Northern Ireland,Northern Ireland,Mid and East Antrim,"650,000",Northern Ireland-->Mid and East Antrim,"650,000","7,500,000",55100,49,Accommodation And Food Service Activities,BT42 1EA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
1,Mid and East Antrim,Northern Ireland,Mid and East Antrim,"650,000",Northern Ireland-->Mid and East Antrim,"650,000","7,500,000",55100,49,Accommodation And Food Service Activities,BT42 1EA,1.0,1.2693582185363539e-08,1.2693582185363539e-08
2,Northern Ireland,Northern Ireland,Mid Ulster,"191,418",Northern Ireland-->Mid Ulster,"191,418","638,059",23610,0,Manufacturing,BT41 3SE,-0.9932383298873901,0.1160929799079895,0.1160929799079895
2,Mid Ulster,Northern Ireland,Mid Ulster,"191,418",Northern Ireland-->Mid Ulster,"191,418","638,059",23610,0,Manufacturing,BT41 3SE,0.9730448722839355,0.23061588406562805,0.23061588406562805
3,Northern Ireland,Northern Ireland,Mid Ulster,"714,413",Northern Ireland-->Mid Ulster,"714,413","2,381,378",10110,0,Manufacturing,BT70 1NJ,-0.9932383298873901,0.1160929799079895,0.1160929799079895
3,Mid Ulster,Northern Ireland,Mid Ulster,"714,413",Northern Ireland-->Mid Ulster,"714,413","2,381,378",10110,0,Manufacturing,BT70 1NJ,0.9730448722839355,0.23061588406562805,0.23061588406562805
4,Canada,Canada,Belfast,"10,950,000",Canada-->Belfast,"10,950,000","109,118,184",30300,0,Manufacturing,BT3 9DY,-0.9932383298873901,-0.11609288305044174,-0.11609288305044174
4,Belfast,Canada,Belfast,"10,950,000",Canada-->Belfast,"10,950,000","109,118,184",30300,0,Manufacturing,BT3 9DY,0.8936326503753662,0.448799192905426,0.448799192905426
5,United States,United States,Antrim and Newtownabbey,"905,281",United States-->Antrim and Newtownabbey,"905,281","3,936,006",26511,0,Manufacturing,BT41 1QS,-0.9396926164627075,-0.3420201539993286,-0.3420201539993286
5,Antrim and Newtownabbey,United States,Antrim and Newtownabbey,"905,281",United States-->Antrim and Newtownabbey,"905,281","3,936,006",26511,0,Manufacturing,BT41 1QS,0.7660444378852844,0.6427875757217407,0.6427875757217407
6,United States,United States,Belfast,"496,209",United States-->Belfast,"496,209","1,240,522",64191,0,Financial And Insurance Activities,BT3 9DP,-0.9396926164627075,-0.3420201539993286,-0.3420201539993286
6,Belfast,United States,Belfast,"496,209",United States-->Belfast,"496,209","1,240,522",64191,0,Financial And Insurance Activities,BT3 9DP,0.8936326503753662,0.448799192905426,0.448799192905426
7,France,France,Lisburn and Castlereagh,"240,230",France-->Lisburn and Castlereagh,"240,230","774,937",29320,0,Manufacturing,BT17 9HN,-0.8354877829551697,-0.5495090484619141,-0.5495090484619141
7,Lisburn and Castlereagh,France,Lisburn and Castlereagh,"240,230",France-->Lisburn and Castlereagh,"240,230","774,937",29320,0,Manufacturing,BT17 9HN,0.5971586108207703,0.8021231889724731,0.8021231889724731
8,Northern Ireland,Northern Ireland,"Armagh City, Banbridge and Craigavon","200,000","Northern Ireland-->Armagh City, Banbridge and Craigavon","200,000","2,998,820",27110,24,Manufacturing,BT63 5GA,-0.9932383298873901,0.1160929799079895,0.1160929799079895
8,"Armagh City, Banbridge and Craigavon",Northern Ireland,"Armagh City, Banbridge and Craigavon","200,000","Northern Ireland-->Armagh City, Banbridge and Craigavon","200,000","2,998,820",27110,24,Manufacturing,BT63 5GA,0.3960797190666199,0.9182161092758179,0.9182161092758179
9,Northern Ireland,Northern Ireland,Mid Ulster,"70,824",Northern Ireland-->Mid Ulster,"70,824","217,033",28302,0,Manufacturing,BT70 2PN,-0.9932383298873901,0.1160929799079895,0.1160929799079895
9,Mid Ulster,Northern Ireland,Mid Ulster,"70,824",Northern Ireland-->Mid Ulster,"70,824","217,033",28302,0,Manufacturing,BT70 2PN,0.9730448722839355,0.23061588406562805,0.23061588406562805
10,Northern Ireland,Northern Ireland,Belfast,"4,030,054",Northern Ireland-->Belfast,"4,030,054","38,000,203",17219,100,Manufacturing,BT11 9DT,-0.9932383298873901,0.1160929799079895,0.1160929799079895
10,Belfast,Northern Ireland,Belfast,"4,030,054",Northern Ireland-->Belfast,"4,030,054","38,000,203",17219,100,Manufacturing,BT11 9DT,0.8936326503753662,0.448799192905426,0.448799192905426
11,Northern Ireland,Northern Ireland,Antrim and Newtownabbey,"69,160",Northern Ireland-->Antrim and Newtownabbey,"69,160","373,472",23510,0,Manufacturing,BT51 4PP,-0.9932383298873901,0.1160929799079895,0.1160929799079895
11,Antrim and Newtownabbey,Northern Ireland,Antrim and Newtownabbey,"69,160",Northern Ireland-->Antrim and Newtownabbey,"69,160","373,472",23510,0,Manufacturing,BT51 4PP,0.7660444378852844,0.6427875757217407,0.6427875757217407
12,Northern Ireland,Northern Ireland,"Armagh City, Banbridge and Craigavon","99,864","Northern Ireland-->Armagh City, Banbridge and Craigavon","99,864","265,816",28302,0,Manufacturing,BT60 2BH,-0.9932383298873901,0.1160929799079895,0.1160929799079895
12,"Armagh City, Banbridge and Craigavon",Northern Ireland,"Armagh City, Banbridge and Craigavon","99,864","Northern Ireland-->Armagh City, Banbridge and Craigavon","99,864","265,816",28302,0,Manufacturing,BT60 2BH,0.3960797190666199,0.9182161092758179,0.9182161092758179
13,United States,United States,Lisburn and Castlereagh,"49,130",United States-->Lisburn and Castlereagh,"49,130","213,608",22190,0,Manufacturing,BT28 2SA,-0.9396926164627075,-0.3420201539993286,-0.3420201539993286
